ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2020,2022-03-23 10:00:00,EUR,JP,Japan,Other capital,354.427510001905
2020,2022-03-23 10:00:00,USD,JP,Japan,Other capital,434.934773460513
2021,2023-03-23 10:00:00,CZK,JP,Japan,Other capital,13733.359
2021,2023-03-23 10:00:00,EUR,JP,Japan,Other capital,552.427956556718
2021,2023-03-23 10:00:00,USD,JP,Japan,Other capital,625.637055259441
2014,2016-03-22 10:00:00,CZK,JP,Japan,Sum,32971.38332
2014,2016-03-22 10:00:00,EUR,JP,Japan,Sum,1189.22933525699
2014,2016-03-22 10:00:00,USD,JP,Japan,Sum,1443.96002978015
2015,2017-03-21 10:00:00,CZK,JP,Japan,Sum,34514.651917
2015,2017-03-21 10:00:00,EUR,JP,Japan,Sum,1277.13790627197
2015,2017-03-21 10:00:00,USD,JP,Japan,Sum,1390.37431183532
2016,2018-03-16 10:00:00,CZK,JP,Japan,Sum,38044.823338
2016,2018-03-16 10:00:00,EUR,JP,Japan,Sum,1408.02454988897
2016,2018-03-16 10:00:00,USD,JP,Japan,Sum,1483.86533554351
2017,2019-03-15 10:00:00,CZK,JP,Japan,Sum,40729.768812
2017,2019-03-15 10:00:00,EUR,JP,Japan,Sum,1594.7442761159
2017,2019-03-15 10:00:00,USD,JP,Japan,Sum,1913.0040304354
2018,2020-03-13 10:00:00,CZK,JP,Japan,Sum,44739.807771
2018,2020-03-13 10:00:00,EUR,JP,Japan,Sum,1739.15676466472
2018,2020-03-13 10:00:00,USD,JP,Japan,Sum,1991.44519589602
2019,2021-03-16 10:00:00,CZK,JP,Japan,Sum,48522.349979
2019,2021-03-16 10:00:00,EUR,JP,Japan,Sum,1909.57693738686
2019,2021-03-16 10:00:00,USD,JP,Japan,Sum,2145.01348211839
2020,2022-03-23 10:00:00,CZK,JP,Japan,Sum,53269.5957664449
2020,2022-03-23 10:00:00,EUR,JP,Japan,Sum,2029.7045443492
2020,2022-03-23 10:00:00,USD,JP,Japan,Sum,2490.74651734441
2021,2023-03-23 10:00:00,CZK,JP,Japan,Sum,50519.2365672984
2021,2023-03-23 10:00:00,EUR,JP,Japan,Sum,2032.14949989133
2021,2023-03-23 10:00:00,USD,JP,Japan,Sum,2301.45490261484
2014,2016-03-22 10:00:00,CZK,KR,South Korea,Registered capital,22874.73308
2014,2016-03-22 10:00:00,EUR,KR,South Korea,Registered capital,825.058001082056
2014,2016-03-22 10:00:00,USD,KR,South Korea,Registered capital,1001.78387842691
2015,2017-03-21 10:00:00,CZK,KR,South Korea,Registered capital,23046.56652
2015,2017-03-21 10:00:00,EUR,KR,South Korea,Registered capital,852.786920259019
2015,2017-03-21 10:00:00,USD,KR,South Korea,Registered capital,928.398586851434
