"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"132","2004","Croatia","RU",17,0,7,24,3.55534806148941,0.708333333333333,1205679.762,115218.731,-1090461.031,0,0.000639819303982471,-0.118711540123736,-1.10796725190186,1,0
"133","2004","Croatia","FR",27,0,15,42,4.00733318523247,0.642857142857143,731934.797,184204.061,-547730.736,0,-0.909276352323186,0.333869427807428,-1.04075868759839,1,0
"134","2004","Czechia","FR",43,14,53,110,1.09861228866811,0.263636363636364,3181925.799,3068658.791,-113267.008,1,-0.914711045462972,-0.166627289783261,-0.577744007746632,0,0
"135","2004","Czechia","DE",61,59,117,237,0.0330608622608882,0.00843881856540084,21227731.634,23835740.329,2608008.695,1,-0.678258751281107,-0.33037624698588,-0.465697689759021,0,0
"136","2004","Czechia","CN",5,3,4,12,0.451985123743057,0.166666666666667,3511679.744,270513.74,-3241166.004,1,0.681098811713405,-0.690059606347837,-0.758560040753875,0,0
"137","2004","Czechia","UK",30,34,35,99,-0.123232640423948,-0.0404040404040404,1961840.567,3097418.55,1135577.983,1,-0.646297477076067,-0.261145571741778,-0.536039718934602,0,0
"138","2004","Czechia","RU",21,20,34,75,0.0476280489892547,0.0133333333333333,2793452.493,945896.049,-1847556.444,1,-0.0721969301891412,-0.62222223924981,-0.820739482456337,0,0
"139","2004","Czechia","USA",92,34,162,288,0.986249320481065,0.201388888888889,2078718.681,1507846.986,-570871.695,1,-1.21142769928853,-0.275108968459837,-0.508976523442663,0,0
"140","2004","Hungary","FR",66,14,77,157,1.52305329823528,0.331210191082803,2776299,3090910,314611,1,-0.244254382198637,-0.13842220089563,-0.18675313303916,0,0
"141","2004","Hungary","UK",19,27,38,84,-0.343771539102824,-0.0952380952380952,1614142,3097250,1483108,1,-0.0483604686453335,0.247302628725174,0.0484867652601612,0,0
"142","2004","Hungary","USA",63,25,123,211,0.912361453734265,0.180094786729858,990012,1651985,661973,1,0.0840247565884902,-0.906258023445283,-0.45074404569975,0,0
"143","2004","Hungary","RU",25,31,25,81,-0.211309093667207,-0.0740740740740741,3385003,908854,-2476149,1,0.092523213665333,-0.397716417871795,-0.77529132567153,0,0
"144","2004","Hungary","DE",45,59,66,170,-0.268263986594679,-0.0823529411764706,17678363,17539824,-138539,1,-1.5389878798563,-0.077250496757788,-0.298717438456413,0,0
"145","2004","Hungary","CN",12,10,12,34,0.174353387144778,0.0588235294117647,2874298,390870,-2483428,1,0.213206047412538,-0.402418641223598,-0.724398756407571,0,0
"146","2005","Croatia","FR",16,1,8,25,2.39789527279837,0.6,777458.602,198553.967,-578904.635,0,-1.07826680732458,0.630493992713395,-0.912558191984551,1,1
"147","2005","Croatia","USA",40,3,63,106,2.44853900561713,0.349056603773585,401604.818,305131.821,-96472.997,0,-0.535689706175374,0.394187077873663,-0.574054238424427,1,1
"148","2005","Croatia","UK",13,0,7,20,3.29583686600433,0.65,347354.52,124786.285,-222568.235,0,-1.17773823005609,0.146177349045328,-1.60904381468387,1,1
"149","2005","Croatia","CN",7,2,3,12,1.09861228866811,0.416666666666667,873290.793,9034.787,-864256.006,0,0.358916111258641,-0.502303397554993,-1.23949590073581,1,1
"150","2005","Croatia","DE",37,4,25,66,2.12026353620009,0.5,2751126.674,936093.357,-1815033.317,0,0.0526708215905531,-0.81413604280765,-1.11958314358958,1,1
"151","2005","Croatia","RU",14,0,7,21,3.36729582998647,0.666666666666667,1698596.898,112586.414,-1586010.484,0,-0.547685370161478,0.436174386007221,-1.13577654131182,1,1
"152","2005","Czechia","DE",46,89,78,213,-0.654786312687499,-0.2018779342723,22965404.164,26200642.941,3235238.777,1,-0.601181081462698,-0.209792500011322,-0.358567698278492,0,1
"153","2005","Czechia","RU",19,17,33,69,0.108213584640233,0.0289855072463768,4360243.143,1401250.657,-2958992.486,1,-0.970127595925365,0.0345534180898764,-0.583259821508107,0,1
"154","2005","Czechia","UK",45,56,95,196,-0.21652831219549,-0.0561224489795918,1912178.171,3633630.549,1721452.378,1,-0.395147763939174,-0.307039880958884,-0.375486169492926,0,1
"155","2005","Czechia","FR",65,15,96,176,1.44121011871601,0.284090909090909,3468969.475,4139348.423,670378.948,1,-0.524270627507292,-0.00960655178559009,-0.28875404101436,0,1
"156","2005","Czechia","CN",23,24,15,62,-0.0416726964005681,-0.0161290322580645,3924155.192,298483.911,-3625671.281,1,0.641279643644758,-0.651254671379291,-0.730571974823906,0,1
"157","2005","Czechia","USA",78,28,124,230,1.01319453751376,0.217391304347826,1986326.763,2074700.141,88373.378,1,0.740088801721678,-0.344227339502664,-0.137646960221453,0,1
"158","2005","Hungary","FR",84,5,91,180,2.7320034421247,0.438888888888889,3259322,3186557,-72765,1,-0.880368019939291,0.197180644753966,-0.135420213866179,0,1
"159","2005","Hungary","USA",47,22,139,208,0.747214401830221,0.120192307692308,1111367,1896403,785036,1,0.283302316469818,-0.713191823582427,-0.237959907966453,0,1
"160","2005","Hungary","RU",77,35,69,181,0.780745239877931,0.232044198895028,4868346,1171082,-3697264,1,-0.689270063222085,0.18636233580631,-0.540404426235194,0,1
"161","2005","Hungary","DE",112,90,102,304,0.217603370938594,0.0723684210526316,18206775,18731716,524941,1,-1.11856800861119,-0.0215149674133988,-0.186086889437569,0,1
"162","2005","Hungary","UK",35,19,58,112,0.599118230911669,0.142857142857143,1638712,3161244,1522532,1,-0.0145771976433405,0.291904793988769,0.0873714523212761,0,1
"163","2005","Hungary","CN",38,24,24,86,0.451985123743057,0.162790697674419,3587953,401960,-3185993,1,-0.139921880300235,-0.142441527043109,-0.712593051631343,0,1
